date,hour,userType,source,pagePath,deviceCategory,country,city,users,sessions,sessionDuration,timeOnPage,pageLoadTime,bounces
20200402,0,New Visitor,google,/,desktop,Germany,Dresden,1,0,0,0,0,0
20200402,0,New Visitor,google,/about,desktop,Germany,Dresden,1,1,11,11,0,0
20200402,0,New Visitor,google,/blog/ssd-yolo,desktop,United States,Newark,1,1,0,0,0,1
20200402,1,New Visitor,(direct),/blog/image-rotation-opencv,desktop,United States,New Lenox,1,1,0,0,0,1
20200402,1,Returning Visitor,google,/blog/motion-monitor-opencv,mobile,France,Lille,1,1,0,0,0,1
20200402,2,New Visitor,google,/blog/image-rotation-opencv,desktop,Canada,Markham,1,1,0,0,0,1
20200402,3,Returning Visitor,cafe.naver.com,/blog/motion-monitor-opencv,desktop,South Korea,Seoul,1,1,0,0,0,1
20200402,4,New Visitor,google,/blog/image-rotation-opencv,desktop,Hong Kong,(not set),1,1,0,0,0,1
20200402,5,New Visitor,google,/blog/image-preprocessing,desktop,China,(not set),1,1,0,0,0,1
20200402,5,New Visitor,google,/blog/ssd-yolo,desktop,China,Hefei,1,1,0,0,0,1
20200402,7,New Visitor,(direct),/blog/ssd-yolo,desktop,India,Kochi,1,1,0,0,0,1
20200402,7,New Visitor,blog.paperspace.com,/blog/image-rotation-opencv,desktop,South Korea,Seoul,1,1,0,0,0,1
20200402,8,New Visitor,google,/blog/bulma-amp,desktop,Philippines,Quezon City,1,1,0,0,0,1
20200402,8,New Visitor,google,/blog/image-preprocessing,desktop,Singapore,Singapore,1,1,29,12,0,0
20200402,8,New Visitor,google,/blog/image-rotation-opencv,desktop,Germany,Karlsruhe,1,1,0,0,0,1
20200402,8,New Visitor,google,/blog/ssd-yolo,desktop,Singapore,Singapore,1,0,0,18,0,0
20200402,9,New Visitor,(direct),/blog/motion-monitor-opencv,desktop,Spain,(not set),1,0,0,0,0,0
20200402,9,New Visitor,(direct),/blog/ssd-yolo,desktop,Spain,(not set),1,1,676,676,0,0
20200402,9,New Visitor,google,/blog/image-rotation-opencv,desktop,Germany,Hanover,1,1,0,0,0,1
